BestMatchLKF: 4, SbBoW 0.75 matches: 379
BestMatchLKF: 5, SbBoW 0.75 matches: 334
BestMatchLKF: 3, SbBoW 0.75 matches: 342
BestMatchLKF: 6, SbBoW 0.75 matches: 979
BestMatchLKF: 6, SbBoW 0.75 matches: 319
BestMatchLKF: 6, SbBoW 0.75 matches: 242
BestMatchLKF: 6, SbBoW 0.75 matches: 210
BestMatchLKF: 1, SbBoW 0.75 matches: 276
BestMatchLKF: 6, SbBoW 0.75 matches: 200
BestMatchLKF: 7, SbBoW 0.75 matches: 251
BestMatchLKF: 7, SbBoW 0.75 matches: 311
BestMatchLKF: 7, SbBoW 0.75 matches: 978
BestMatchLKF: 7, SbBoW 0.75 matches: 288
BestMatchLKF: 8, SbBoW 0.75 matches: 241
BestMatchLKF: 8, SbBoW 0.75 matches: 976
BestMatchLKF: 8, SbBoW 0.75 matches: 256
BestMatchLKF: 8, SbBoW 0.75 matches: 226
BestMatchLKF: 9, SbBoW 0.75 matches: 283
BestMatchLKF: 9, SbBoW 0.75 matches: 283
BestMatchLKF: 9, SbBoW 0.75 matches: 972
BestMatchLKF: 9, SbBoW 0.75 matches: 317
BestMatchLKF: 9, SbBoW 0.75 matches: 281
BestMatchLKF: 10, SbBoW 0.75 matches: 215
BestMatchLKF: 10, SbBoW 0.75 matches: 217
BestMatchLKF: 10, SbBoW 0.75 matches: 278
BestMatchLKF: 10, SbBoW 0.75 matches: 986
BestMatchLKF: 11, SbBoW 0.75 matches: 977
BestMatchLKF: 11, SbBoW 0.75 matches: 183
BestMatchLKF: 12, SbBoW 0.75 matches: 176
BestMatchLKF: 12, SbBoW 0.75 matches: 180
BestMatchLKF: 12, SbBoW 0.75 matches: 236
BestMatchLKF: 12, SbBoW 0.75 matches: 263
BestMatchLKF: 12, SbBoW 0.75 matches: 203
BestMatchLKF: 12, SbBoW 0.75 matches: 189
BestMatchLKF: 13, SbBoW 0.75 matches: 223
BestMatchLKF: 13, SbBoW 0.75 matches: 224
BestMatchLKF: 13, SbBoW 0.75 matches: 281
BestMatchLKF: 13, SbBoW 0.75 matches: 331
BestMatchLKF: 13, SbBoW 0.75 matches: 253
BestMatchLKF: 14, SbBoW 0.75 matches: 221
BestMatchLKF: 14, SbBoW 0.75 matches: 334
BestMatchLKF: 14, SbBoW 0.75 matches: 991
BestMatchLKF: 14, SbBoW 0.75 matches: 350
BestMatchLKF: 14, SbBoW 0.75 matches: 296
BestMatchLKF: 14, SbBoW 0.75 matches: 244
BestMatchLKF: 15, SbBoW 0.75 matches: 231
BestMatchLKF: 15, SbBoW 0.75 matches: 245
BestMatchLKF: 15, SbBoW 0.75 matches: 301
BestMatchLKF: 15, SbBoW 0.75 matches: 351
BestMatchLKF: 15, SbBoW 0.75 matches: 292
BestMatchLKF: 15, SbBoW 0.75 matches: 267
BestMatchLKF: 15, SbBoW 0.75 matches: 253
BestMatchLKF: 15, SbBoW 0.75 matches: 226
BestMatchLKF: 15, SbBoW 0.75 matches: 220
BestMatchLKF: 15, SbBoW 0.75 matches: 192
BestMatchLKF: 16, SbBoW 0.75 matches: 207
BestMatchLKF: 16, SbBoW 0.75 matches: 243
BestMatchLKF: 16, SbBoW 0.75 matches: 246
BestMatchLKF: 16, SbBoW 0.75 matches: 301
BestMatchLKF: 16, SbBoW 0.75 matches: 347
BestMatchLKF: 16, SbBoW 0.75 matches: 368
BestMatchLKF: 16, SbBoW 0.75 matches: 306
BestMatchLKF: 16, SbBoW 0.75 matches: 280
BestMatchLKF: 17, SbBoW 0.75 matches: 227
BestMatchLKF: 17, SbBoW 0.75 matches: 281
BestMatchLKF: 17, SbBoW 0.75 matches: 994
BestMatchLKF: 17, SbBoW 0.75 matches: 308
BestMatchLKF: 17, SbBoW 0.75 matches: 277
BestMatchLKF: 18, SbBoW 0.75 matches: 363
BestMatchLKF: 18, SbBoW 0.75 matches: 373
BestMatchLKF: 18, SbBoW 0.75 matches: 280
BestMatchLKF: 18, SbBoW 0.75 matches: 276
BestMatchLKF: 18, SbBoW 0.75 matches: 210
BestMatchLKF: 19, SbBoW 0.75 matches: 244
BestMatchLKF: 19, SbBoW 0.75 matches: 287
BestMatchLKF: 19, SbBoW 0.75 matches: 288
BestMatchLKF: 19, SbBoW 0.75 matches: 367
BestMatchLKF: 19, SbBoW 0.75 matches: 283
BestMatchLKF: 20, SbBoW 0.75 matches: 252
BestMatchLKF: 20, SbBoW 0.75 matches: 345
BestMatchLKF: 20, SbBoW 0.75 matches: 389
BestMatchLKF: 21, SbBoW 0.75 matches: 381
BestMatchLKF: 21, SbBoW 0.75 matches: 364
BestMatchLKF: 21, SbBoW 0.75 matches: 299
BestMatchLKF: 21, SbBoW 0.75 matches: 263
BestMatchLKF: 22, SbBoW 0.75 matches: 281
BestMatchLKF: 22, SbBoW 0.75 matches: 993
BestMatchLKF: 22, SbBoW 0.75 matches: 320
BestMatchLKF: 23, SbBoW 0.75 matches: 280
BestMatchLKF: 23, SbBoW 0.75 matches: 283
BestMatchLKF: 23, SbBoW 0.75 matches: 311
BestMatchLKF: 23, SbBoW 0.75 matches: 328
BestMatchLKF: 23, SbBoW 0.75 matches: 344
BestMatchLKF: 23, SbBoW 0.75 matches: 417
BestMatchLKF: 23, SbBoW 0.75 matches: 982
BestMatchLKF: 23, SbBoW 0.75 matches: 344
BestMatchLKF: 23, SbBoW 0.75 matches: 309
BestMatchLKF: 23, SbBoW 0.75 matches: 257
BestMatchLKF: 23, SbBoW 0.75 matches: 264
BestMatchLKF: 23, SbBoW 0.75 matches: 246
BestMatchLKF: 24, SbBoW 0.75 matches: 247
BestMatchLKF: 24, SbBoW 0.75 matches: 271
BestMatchLKF: 24, SbBoW 0.75 matches: 332
BestMatchLKF: 24, SbBoW 0.75 matches: 986
BestMatchLKF: 24, SbBoW 0.75 matches: 357
BestMatchLKF: 24, SbBoW 0.75 matches: 293
BestMatchLKF: 24, SbBoW 0.75 matches: 243
BestMatchLKF: 24, SbBoW 0.75 matches: 232
BestMatchLKF: 24, SbBoW 0.75 matches: 235
BestMatchLKF: 24, SbBoW 0.75 matches: 264
BestMatchLKF: 25, SbBoW 0.75 matches: 249
BestMatchLKF: 25, SbBoW 0.75 matches: 264
BestMatchLKF: 25, SbBoW 0.75 matches: 266
BestMatchLKF: 25, SbBoW 0.75 matches: 369
BestMatchLKF: 25, SbBoW 0.75 matches: 365
BestMatchLKF: 25, SbBoW 0.75 matches: 332
BestMatchLKF: 25, SbBoW 0.75 matches: 233
BestMatchLKF: 26, SbBoW 0.75 matches: 220
BestMatchLKF: 26, SbBoW 0.75 matches: 242
BestMatchLKF: 26, SbBoW 0.75 matches: 263
BestMatchLKF: 26, SbBoW 0.75 matches: 375
BestMatchLKF: 26, SbBoW 0.75 matches: 392
BestMatchLKF: 26, SbBoW 0.75 matches: 318
BestMatchLKF: 26, SbBoW 0.75 matches: 240
BestMatchLKF: 27, SbBoW 0.75 matches: 233
BestMatchLKF: 27, SbBoW 0.75 matches: 224
BestMatchLKF: 27, SbBoW 0.75 matches: 236
BestMatchLKF: 27, SbBoW 0.75 matches: 288
BestMatchLKF: 27, SbBoW 0.75 matches: 986
BestMatchLKF: 27, SbBoW 0.75 matches: 303
BestMatchLKF: 27, SbBoW 0.75 matches: 268
BestMatchLKF: 27, SbBoW 0.75 matches: 226
BestMatchLKF: 27, SbBoW 0.75 matches: 212
BestMatchLKF: 28, SbBoW 0.75 matches: 209
BestMatchLKF: 28, SbBoW 0.75 matches: 297
BestMatchLKF: 28, SbBoW 0.75 matches: 238
BestMatchLKF: 28, SbBoW 0.75 matches: 223
BestMatchLKF: 28, SbBoW 0.75 matches: 213
BestMatchLKF: 29, SbBoW 0.75 matches: 211
BestMatchLKF: 29, SbBoW 0.75 matches: 229
BestMatchLKF: 29, SbBoW 0.75 matches: 333
BestMatchLKF: 29, SbBoW 0.75 matches: 322
BestMatchLKF: 29, SbBoW 0.75 matches: 279
BestMatchLKF: 29, SbBoW 0.75 matches: 277
BestMatchLKF: 29, SbBoW 0.75 matches: 235
BestMatchLKF: 29, SbBoW 0.75 matches: 181
BestMatchLKF: 29, SbBoW 0.75 matches: 201
BestMatchLKF: 29, SbBoW 0.75 matches: 186
BestMatchLKF: 30, SbBoW 0.75 matches: 271
BestMatchLKF: 30, SbBoW 0.75 matches: 262
BestMatchLKF: 30, SbBoW 0.75 matches: 291
BestMatchLKF: 30, SbBoW 0.75 matches: 347
BestMatchLKF: 30, SbBoW 0.75 matches: 284
BestMatchLKF: 31, SbBoW 0.75 matches: 225
BestMatchLKF: 31, SbBoW 0.75 matches: 224
BestMatchLKF: 31, SbBoW 0.75 matches: 262
BestMatchLKF: 31, SbBoW 0.75 matches: 283
BestMatchLKF: 31, SbBoW 0.75 matches: 314
BestMatchLKF: 31, SbBoW 0.75 matches: 339
BestMatchLKF: 31, SbBoW 0.75 matches: 356
BestMatchLKF: 31, SbBoW 0.75 matches: 316
BestMatchLKF: 31, SbBoW 0.75 matches: 281
BestMatchLKF: 31, SbBoW 0.75 matches: 246
BestMatchLKF: 31, SbBoW 0.75 matches: 219
BestMatchLKF: 31, SbBoW 0.75 matches: 215
BestMatchLKF: 31, SbBoW 0.75 matches: 206
BestMatchLKF: 32, SbBoW 0.75 matches: 165
BestMatchLKF: 32, SbBoW 0.75 matches: 190
BestMatchLKF: 32, SbBoW 0.75 matches: 216
BestMatchLKF: 32, SbBoW 0.75 matches: 280
BestMatchLKF: 32, SbBoW 0.75 matches: 980
BestMatchLKF: 32, SbBoW 0.75 matches: 265
BestMatchLKF: 32, SbBoW 0.75 matches: 245
BestMatchLKF: 32, SbBoW 0.75 matches: 205
BestMatchLKF: 32, SbBoW 0.75 matches: 167
BestMatchLKF: 32, SbBoW 0.75 matches: 164
BestMatchLKF: 32, SbBoW 0.75 matches: 142
BestMatchLKF: 32, SbBoW 0.75 matches: 156
BestMatchLKF: 32, SbBoW 0.75 matches: 125
